movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Racing Stripes,"In the middle of a raging thunderstorm, a traveling circus accidentally leaves behind some very precious cargo--a baby zebra. Horse farmer Nolan Walsh, who takes him home to his young daughter Channing, rescues the gangly little foal. Once a champion thoroughbred trainer, Walsh has given up horse training for a quiet life with Channing on their modest Kentucky farm. The little zebra, or ""Stripes,"" as Channing calls him, is soon introduced to the farm's misfit troupe of barnyard residents, led by a cranky Shetland Pony named Tucker and Franny, a wise old goat who keeps the family in line. Goose, a deranged big-city pelican that's hiding out in the sticks until the heat dies down in Jersey, joins the group. The un-aptly named bloodhound Lightening keeps a lazy eye on goings-on at the farm - in between naps. The Walsh farm borders the Turfway Racetrack, where highly skilled thoroughbreds compete for horse racing's top honor, the ultra-prestigious Kentucky Crown. From the first moment Stripes lays eyes on the track, he's hooked--he knows that if he could just get the chance, he could leave all those other horses in the dust. What he doesn't know is--he's not exactly a horse. But with characteristic zeal, he devotes himself to training for the big time, with a little help from Tucker, who has coached a host of champion racehorses in the past.","Racing Stripes might be good for a few laps with younger viewers, but it's too blandly predictable to truly recommend for an all-ages audience.",PG,"Comedy, Drama, Kids & Family",Frederik Du Chau,David Schmidt,"Bruce Greenwood, Hayden Panettiere, M. Emmet Walsh, Wendie Malick, Gary Bullock, Frankie Muniz, Mandy Moore, Michael Clarke Duncan, Jeff Foxworthy, Joshua Jackson, Joe Pantoliano, Michael Rosenbaum, Whoopi Goldberg, Steve Harvey, David Spade, Fred Dalton Thompson, Snoop Dogg, Dustin Hoffman, Jansen Panettiere, Caspar Poyck, Thandi Puren, Morne Visser, Dawn Matthews, Matt Stern, John Lesley, Graeme Hawkins, Tarryn Downes, Frankie Ryan Manriquez, Kyle Alcazar",2005-01-14,2005-05-10,101.0,Warner Bros. Pictures,Rotten,35,99,42.0,60165.0
The Family Tree,"Life in suburban Serenity, Ohio is never quite as serene as it appears. The dysfunctional Burnett family - Bunnie (Hope Davis), Jack (Dermot Mulroney) and their twin 17 year olds Eric (Max Thieriot) and Kelly (Britt Robertson) - seems like a lost cause. When a freak accident leaves Bunnie with a case of amnesia, the Burnetts get an unexpected second chance at happiness. Meanwhile, next door neighbor Simon (Chi McBride) is relieved that his tryst gone wrong with Bunnie remains undetected, at least for the moment. Before long, a slew of past relationships, kids with guns, a suicidal teacher, a very zealous religious club, misinterpreted advances, corporate down-sizing, and one fateful squirrel combine to create enough mayhem to test the resolve, sanity and future of any family! -- (C) Entertainment One US",,R,"Comedy, Drama",Vivi Friedman,Mark Lisson,"Dermot Mulroney, Hope Davis, Chi McBride, Max Thieriot, Britt Robertson, Selma Blair, Keith Carradine, Bow Wow, Gabrielle Anwar, John Patrick Amedori, Evan Ross, Madeline Zima, Christina Hendricks, Rachael Leigh Cook, Evan Handler, Jermaine Williams, Steven Grayhm, Newell Alexander, Eddie Hassell, Jake Richardson, Pamela Shaw, Jack Kyle, Mac Brandt, Adrian Alvarado, Peggy Etra, Ally Maki, Hannah Hodson, Colby French, Christopher Bradley",2011-08-26,2011-11-22,87.0,Entertainment One U.S.,Rotten,10,20,25.0,708.0
A Serious Man,"""A Serious Man"" is the story of an ordinary man's search for clarity in a universe where Jefferson Airplane is on the radio and ""F-Troop"" is on TV. It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous colleagues, Sy Ableman, who seems to her a more substantial person than the feckless Larry. Larry's unemployable brother Arthur is sleeping on the couch, his son Danny is a discipline problem and a shirker at Hebrew school, and his daughter Sarah is filching money from his wallet in order to save up for a nose job. While his wife and Sy Ableman blithely make new domestic arrangements, and his brother becomes more and more of a burden, an anonymous hostile letter-writer is trying to sabotage Larry's chances for tenure at the university. Also, a graduate student seems to be trying to bribe him for a passing grade while at the same time threatening to sue him for defamation. Plus, the beautiful woman next door torments him by sunbathing nude. Struggling for equilibrium, Larry seeks advice from three different rabbis. Can anyone help him cope with his afflictions and become a righteous person -- a mensch -- a serious man?","Blending dark humor with profoundly personal themes, the Coen brothers deliver what might be their most mature -- if not their best -- film to date.",R,"Comedy, Drama","Roger Deakins, Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Amy Landecker, Alan Mandell, Fyvush Finkel, Adam Arkin, Allen Lewis Rickman, Yelena Shmulenson, Peter Breitmayer, Brent Braunschweig, Simon Helberg, David Kang, Aaron Wolff, Jessica McManus, Ari Hoptman, Michael Tezla, George Wyner, Michael Lerner, Benjamin Portnoe, Jon Kaminski Jr., Ronald Schultz, Raye Birk, Charles Brin, Stephen Park, James Cada, Jane Hammill, Sidor Belarsky, Jimi Hendrix, Carter Burwell",2009-10-02,2010-02-09,106.0,Focus Features,Certified Fresh,90,221,68.0,63001.0
Bunny Lake Is Missing,"Based on the mystery novel by Marryam Modell (using the pseudonym Evelyn Piper), Bunny Lake Is Missing is a bizarre study in motherhood, kindness, enigma, and insanity. Ann Lake (Carol Lynley), an American freshly relocated to England, wishes to drop off her daughter Bunny for the girl's first day at a new nursery school. Oddly, Ann cannot locate any teachers or administrators, only the school's disgruntled cook (Lucie Mannheim). She is forced to leave Bunny unsupervised in the building's ""first day"" room, under the reassurance that the cook will be responsible for the child. When Ann returns in the afternoon, the cook has quit and Bunny Lake is missing. The school's remaining employees vehemently deny ever seeing the child, and Ann desperately calls her older brother Stephen (Keir Dullea) for help. Ann was raised fatherless and never married; she and Bunny have lived under Stephen's care and protection for the majority of both their lives. Stephen is enraged by the irresponsibility of the staff, but as Scotland Yard begins its investigation, it comes to light that he had never officially enrolled a child at the school. When Police Superintendent Newhouse (Laurence Olivier) begins to unravel the Lakes' lives and search their belongings, he discovers that not only did Ann once have an imaginary childhood daughter named ""Bunny,"" but that the young Bunny seemed to have no tangible possessions at the Lake apartment. Bunny Lake (whom we have yet to see onscreen) may not be missing: she may not even be real. Terrified that Newhouse will now abandon the search for the girl, the hysterical Ann sets out to prove her sanity and, in the process, surprisingly uncovers the true psychosis behind the disappearance of her little Bunny Lake.",,NR,"Classics, Drama, Mystery & Suspense",Otto Preminger,"John Mortimer, Penelope Mortimer","Laurence Olivier, Carol Lynley, Keir Dullea, Martita Hunt, Noel Coward, Anna Massey, Clive Revill, Finlay Currie, Richard Wattis, Lucie Mannheim, Megs Jenkins, Victor Maddern, Delphi Lawrence, Suzanne Neve, Adrienne Corri, Kika Markham, Jill Melford, Damaris Hayman, Patrick Jordan, Jane Evers, John Sharp, Geoffrey Frederick, Percy Herbert, Michael Wynne, Bill Maxam, Tim Brinton, Fred Emney, David Oxley, John Forbes-Robertson",1965-10-03,2005-01-25,107.0,Sony Pictures Entertainment,Fresh,86,14,78.0,2526.0
The Boys from Brazil,"This film of Ira Levin's novel The Boys from Brazil wastes no time in establishing the fact that several seemingly unrelated men have been mysteriously murdered. Elderly Jewish Nazi hunter Ezra Lieberman (Laurence Olivier), brought into the case when the clues seem to point to a neo-fascist plot, traces the trail of evidence to Paraguay. Here he finds an unregenerate Auschwitz doctor, patterned on Joseph Mengele and played by -- of all people -- Gregory Peck. Lieberman discovers that the murdered men had all fathered sons who were identical -- the results of a cloning experiment, designed to create a race of incipient Hitlers.",,R,"Action & Adventure, Drama, Mystery & Suspense",Franklin J. Schaffner,Heywood Gould,"Gregory Peck, Laurence Olivier, James Mason, Lilli Palmer, Uta Hagen, Rosemary Harris, John Dehner, John Rubinstein, Anne Meara, Steve Guttenberg, Denholm Elliott, Jeremy Black, David Hurst, Bruno Ganz, Walter Gotell, Carl Duering, Linda Hayden, Richard Marner, Georg Marischka, Michael Gough, Wolfgang Preiss, Joachim Hansen, Guy Dumont, Günter Meisner, Prunella Scales, Raul Faustino Saldanha, Mervyn Nelson, Jurgen Andersen, David Brandon, Gerti Gordon, Mervin Nelson, Wolf Kahler, Monica Gearson",1978-10-05,1999-12-14,130.0,20th Century Fox Film Corporation,Fresh,69,32,67.0,7672.0
Once,"""Once"" is a modern-day musical set on the streets of Dublin. Featuring Glen Hansard and his Irish band The Frames, ""Once"" tells the story of a street musician and a Czech immigrant during an eventful week as they write, rehearse and record songs that reveal their unique love story.","A charming, captivating tale of love and music, Once sets the standard for the modern musical. And with Dublin as its backdrop, Once is fun and fresh.",R,"Drama, Musical & Performing Arts",John Carney,John Carney,"Glen Hansard, Markéta Irglová, Geoff Minogue, Mal Whyte, Bill Hodnett, Danuse Ktrestova, Alastair Foley, Gerard Hendrick, Darren Healy, Marcella Plunkett, Paul Clarke, Niall Cleary, Maire Walsh, Pat McGrath, Witold Owski, Hugh Walsh, Tomek Glowacki, Sean Millar, Attila Kouvacs, Pete Short, Bob Hoban, Dave Cleary, Praghosa, Keith Byrne, Krzysztos Tlotka, Kate Haugh, Senan Haugh, Catherine Hansard, Fergus O'Farrell, Martina Akindojctimi, Ruslan Mannanu, Francis Usanga, Price Tylot Khumaho, Joe Adebe, Bernard Gibsenen",2007-05-18,2007-12-18,86.0,Fox Searchlight,Certified Fresh,97,157,91.0,190990.0
Damien---Omen II,"Satan's son comes of age in this horror sequel. Shortly after the events of The Omen, a pair of anthropologists uncovers an ancient crypt that depicts the face of the Antichrist -- that of Damien Thorn (Jonathan Scott-Taylor), recently orphaned scion of a wealthy industrialist. Before they can warn the world of the child's evil lineage, both men are buried under tons of rubble. Seven years later, 13-year-old Damien attends military school alongside his cousin, Mark (Lucas Donat), and spends lots of time with his adoptive parents, Uncle Richard (William Holden) and Aunt Ann (Lee Grant). After the boy's Great Aunt Marion (Sylvia Sidney) tries to convince the Thorns that Damien is a malevolent influence on Mark, she dies suddenly, and, unbeknownst to the family, horrifically. Ravens, it seems, are the harbingers of Damien's power, and in addition to Aunt Marion, they visit a long procession of characters who get too close to Damien's true identity. The most horrible death is suffered by Joan Hart (Elizabeth Shepherd), an investigative reporter who's digging into the boy's life; she gets flattened by a truck after having her eyes devoured by those menacing birds. Meanwhile, executive Paul Buher (Robert Foxworth) climbs the corporate ladder at Thorn Industries and takes young Damien under his devil-worshiping wings. Sgt. Neff (Lance Henriksen), one of the boy's instructors, also helps initiate Damien. As the pile of bodies gets bigger -- and closer -- Uncle Richard begins to suspect the truth, and, like his brother before him, plot the death of Damien. The existence of another sequel, 1981's The Final Conflict, gives a good indication of the outcome. Although Damien: Omen II is his only Hollywood feature credit, Scott-Taylor appeared frequently in the theater and on television; he once even portrayed Damien's arch-nemesis, Jesus, on-stage.","Damien dishes out ghoulish scares and a biblical body count to generate some morbid fun, but this repetitious sequel lacks the sophistication of its predecessor.",R,"Horror, Mystery & Suspense",Don Taylor,"Mike Hodges, Stanley Mann","William Holden, Lee Grant, Jonathan Scott-Taylor, Robert Foxworth, Nicholas Pryor, Lew Ayres, Sylvia Sidney, Lance Henriksen, Lucas Donat, Allan Arbus, Meshach Taylor, John J. Newcombe, John Charles Burns, Paul Cook, Robert Ingham, William B. Fosser, Corney Morgan, Russell P. Delia, William Fosser, Judith Dowd, Thomas O. Erhart Jr., Leo McKern, Jerome Anthony Hawkins, John Newcombe, Robert J. Jones Jr., Rusdi Lane, Charles Mountain, Diane Daniels, Cornelia Sanders, Felix Shuman, James Spinks, Owen Sullivan, William J. Whelehan, Elizabeth Shepherd, Fritz Ford",1978-06-09,2001-09-04,110.0,20th Century Fox,Rotten,44,25,49.0,50693.0
Ithaca,"When his older brother leaves to fight in the Second World War, fourteen-year-old Homer Macauley takes on a job as a bicycle telegraph messenger to provide for his widowed mother, his older sister and his younger brother. Homer delivers messages of love, hope, pain and death to the good people of Ithaca, but soon must grapple with a message that will change him forever. Based on Pulitzer Prize-winning author William Saroyan's 1943 novel The Human Comedy, Ithaca is a coming-of-age story about the exuberance of youth, the abruptness of change, the sweetness of life, the sting of death, and the sheer goodness that lives in each and every one of us.",,PG,Drama,Meg Ryan,Erik Jendresen,"Alex Neustaedter, Tom Hanks, Meg Ryan, Sam Shepard, Hamish Linklater, Jack Quaid, Molly Gordon, Gabriel Basso, Scott Shepherd, Zachary Webber, Emily Marie Palmer, Alex Miller, Eugenia Gonzales, Griffin Littles, Ed Squires, Ed Squires, Ramsey Hanchette, Kelly L. Moran, Connor Berry, Spencer Howell, Samantha Smedley, Lucia Forte, Kaira Klueber, Kaira Klueber, Dietrich Teschner, Christine Nelson, Lois Robbins, Robin Skye, Billy Livermon, Nathan Riter, Ethan Wasson, Charlotte Maltby",2016-09-09,2016-10-04,96.0,Playtone Pictures,Rotten,22,18,31.0,321.0
Comic-Con: Episode IV - A Fan's Hope,"Comic-Con Episode IV: A Fan's Hope--a film by Morgan Spurlock explores this amazing cultural phenomenon by following the lives of five attendees as they descend upon the ultimate geek mecca at San Diego Comic-Con 2010. One on one interviews with Comic-Con veterans who have turned their passions into professions include Stan Lee, Joss Whedon, Frank Miller, Kevin Smith, Matt Groening, Seth Rogen, Eli Roth and others are shared throughout the film along with up close and up front coverage of all the panels, parades, photos, costumes, crowds and camaraderie that make up one of the largest fan gatherings in the U.S. -- (C) Official Site",,PG-13,"Documentary, Special Interest",Morgan Spurlock,"Morgan Spurlock, Jeremy Chilnick","Chuck Rondanzki, James Darling, Holly Conrad, Kang Se Young, Skip Harvey, Eric Hensen",2012-04-06,2012-07-10,88.0,Wrekin Hill Entertainment,Certified Fresh,83,54,80.0,6290.0
Godzilla vs. Megalon,"You know who Godzilla is. Megalon is a huge cockroach-like beast. Godzilla has been a good guy since 1961, so Megalon is consigned to the villain's role. Godzilla is evidently in seclusion, so the people of Tokyo build a robot to seek out the big lizard (wouldn't a phone call have sufficed?) Don't miss the Gigan, the creature with a buzzsaw in its abdomen.",,G,"Horror, Science Fiction & Fantasy",Jun Fukuda,"Takeshi Kimura & Shinichi Sekizawa, Jun Fukuda","Katsuhiko Sasaki, Hiroyuki Kawase, Yutaka Hayashi, Mori Mikita, Robert Dunham, Tsugutoshi Komada, Hideto Odachi, Wolf Otsuki, Kenpachiro Satsuma, Shinji Takagi, Kotaro Tomita",1973-03-17,2012-08-14,83.0,Toho Company,Rotten,38,8,34.0,6619.0
Mr. Right,"Hyperactive at the best of times, Martha (Anna Kendrick; Pitch Perfect) has gone full-on manic since her latest breakup. She babbles, parties like a monster, cooks everything in sight - and is looking to do something terrible when she meets Francis (Sam Rockwell; The Way Way Back). To anyone else, Francis's approach would come across as creepy, but Martha can't help but be intrigued. They seem a perfect match: she's bananas, he's bananas... except he's a deadly sort of bananas. He's a professional assassin. Francis is a hitman with a cause: he unexpectedly kills the people ordering the hits. Just as Martha begins to realize her new beau wasn't joking when he said he had to step out for a moment to shoot someone, things start heating up for Francis. His services are solicited by a dubious client who's being sought by an equally dubious FBI agent (Tim Roth; Pulp Fiction, Reservoir Dogs). As the bodies pile up, Martha needs to decide whether to flee or join in the mayhem.","Sam Rockwell and Anna Kendrick work well together, but Mr. Right is too much of a tonal jumble to take advantage of their chemistry.",R,"Action & Adventure, Comedy, Romance",Paco Cabezas,Max Landis,"Anna Kendrick, Tim Roth, Sam Rockwell, Anson Mount, James Ransone, Michael Eklund, RZA, Katie Nehra, Jaiden Kaine, Douglas M. Griffin, Luis Da Silva Jr., Maria Elena Sanchez, Garrett Kruithof, Christopher Matthew Cook, Ross Gallo, Wendy McColm, Jimmy Gonzales, Kelly Connolly, Gigi Johnson, Jonathan Billions, Cooper Dodson, Alec Rayme, Sue Rock, Marcus M. Mauldin, Bradley Gallo, Joe Nin Williams, Sean Paul Braud, Eric VanArsdale, Andy Abele, Luke Sexton, Quinn Early, Trace Cheramie, Eric Stratemeier, Jay Caputo, Sam Medina",2016-04-08,2016-06-07,90.0,Circle of Confusion,Rotten,44,52,54.0,6056.0
Miss Conception,"Heather Graham, Mia Kirshner, and Tom Ellis star in director Eric Styles' romantic comedy concerning a 33-year-old woman who realizes that her longtime partner doesn't want to have children. Determined to reproduce regardless, the woman recruits her reluctant best friend to find her the right man for the job.",,R,"Art House & International, Comedy, Romance",Eric Styles,Camilla Leslie,"Heather Graham, Mia Kirshner, Tom Ellis, Orlando Seale, Will Mellor, Cathal Sheahan, Ruta Gedmintas, Laura Goulding, Debbie Javor, Jo Donnelly, Nicholas Le Prevost, Maria Watton Graham, Edward Macliam, Deborah Javor, Vivienne Moore, Olivia Nash, Paul Telfer, Jeremy Sheffield, Mark Mulholland, Charlie Kranz, Laurence Doherty, Matt Jennings, Roma Tomelty, Karen Hassan, Bronagh Waugh, Susie Kelly, Mary Ellen McCartan, Diarmuid Corr, Drew Thompson, Philip Sheppard",2008-06-06,2008-08-05,94.0,Corinth Films,Rotten,8,12,19.0,45598.0
20th Century Women,"During the summer of 1979, a Santa Barbara single mom and boardinghouse landlord (Annette Bening) decides the best way she can parent her teenage son (Lucas Jade Zumann) is to enlist her young tenants - a quirky punk photographer (Greta Gerwig), a mellow handyman (Billy Crudup) and her son's shrewd best friend (Elle Fanning) - to serve as role models in a changing world.",20th Century Women offers Annette Bening a too-rare opportunity to shine in a leading role -- and marks another assured step forward for writer-director Mike Mills.,R,"Comedy, Drama",Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Billy Crudup, Alison Elliott, Thea Gill, Vitaly A. Lebeau, Olivia Hone, Waleed Zuaiter, Curran Walters, Darrell Britt-Gibson, Alia Shawkat, Nathalie Love, Cameron Protzman, Victoria Bruno, John Billingsley, Cameron Gellman, Finnegan Bell, Zoe Nanos, Lauren Foley, Gareth Williams, J. Francisco Rodriguez, Zoë Worth, Finn Roberts, Laura Wiggins, Rick Gifford, Paul Tigue, Matthew Foster, Kirk Bovill, Victoria Hoffman, Christina Andrea Offley, Randy Ryan, Diana Bostan, Toni Gaal, Tanya Young, Hans-Peter Thomas, Kai Lennox, Paul Messinger, Eric Wentz, Sam Gros, Britt Sanborn, Alexis Milan Turner, Catherine Zelinsky, Boyce Buchanan, Kyle Olivia Green, Sam Marsh, Antonia Marie Vivino, Sara Pelayo, Annabelle Lee, Avi Boyko, Tyler Leyva, Cameron Simon, Christopher Carroll, Hayden Gold, Al Wexo, Peter Mason, Padriac Cassidy, Matthew Cardarople, Toni Christopher, Jesse Sanes, Sam Bosson, Ian Logan, Patrick Pastor, Trent Bowman, Justin T. Rivera, Desmond Shepherd, Joshua Burge, Daniel Dorr",2017-01-20,2017-03-28,118.0,A24 Films,Certified Fresh,89,217,74.0,12826.0
The Wind,"An unseen evil haunts the homestead in this chilling, folkloric tale of madness, paranoia, and otherworldly terror. Lizzy (Caitlin Gerard) is a tough, resourceful frontierswoman settling a remote stretch of land on the 19th-century American frontier. Isolated from civilization in a desolate wilderness where the wind never stops howling, she begins to sense a sinister presence that seems to be borne of the land itself, an overwhelming dread that her husband (Ashley Zukerman) dismisses as superstition. When a newlywed couple arrives on a nearby homestead, their presence amplifies Lizzy's fears, setting into motion a shocking chain of events. Masterfully blending haunting visuals with pulse-pounding sound design, director Emma Tammi evokes a godforsaken world in which the forces of nature come alive with quivering menace.","Imperfect yet intriguing, The Wind offers horror fans an admirably ambitious story further distinguished by its fresh perspective and effective scares.",R,Horror,Emma Tammi,Teresa Sutherland,"Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman, Dylan McTee, Miles Anderson, Martin C. Patterson",2019-04-05,2019-04-05,86.0,IFC Midnight,Certified Fresh,81,62,55.0,126.0
One From the Heart,"In this extravagant romantic comedy, a pair of lovers, contemptuous of their over-familiarity with each other, split up to look for greener pastures. Filmmaker Francis Ford Coppola spared no expense with this film and the production and cinematography are exquisite; unfortunately, the film was a box-office dud and is credited for causing the demise of Coppola's Zoetrope Studios.",A misfire from director Francis Ford Coppola.,R,"Comedy, Drama, Musical & Performing Arts, Romance",Francis Ford Coppola,"Francis Ford Coppola, Armyan Bernstein","Frederic Forrest, Teri Garr, Nastassja Kinski, Raul Julia, Lainie Kazan, Harry Dean Stanton, Allen Garfield, Jeff Hamlin, Italia Coppola, Carmine Coppola, Edward Blackoff, Steve Calou, Javier Grajeda, Jim Jack Campbell, Cynthia Kania, Daniel Candib, Monica Scattini, Stephen Cohn, Ronald Colby, Ron Colby, Tom Dahlgren, Foster Denker, Tony Dingman, Jim Dunn, Don Elmblad, Laura Fine, Michael Fink, Merrilisa Formento, Suzanne Fox, William George, Lyn Gerry, Ronald Gress, Michael Hacker, Tess Haley, Karl Herrman, Clark Higgins, Pete Jasper, Nancy Jencks, Roy Thomas Johns, Jill Kearney, Tom Koster, Kenneth A. Larson, Jack Lindauer, Loolee de Leon, Dan Lutz, Bonnie Macker, Michael Magill, Cathy Masom, Barbara McBane, Rebecca De Mornay",1982-02-12,2004-01-27,101.0,Columbia Pictures,Rotten,50,32,62.0,2855.0
Man in Red Bandana,"This is a story of sacrifice, selflessness and how the actions of one man have touched and inspired others. Our film is about Welles Crowther, a 9/11 hero. Welles was tragically killed in the lobby of the South Tower when it collapsed. He stayed to help others and his heroics only became known 8 months after the tragedy due to an ordinary object ... a red bandana. The film re-traces the unique manner in which his heroics became known, as well as his last inspirational hour (his finest hour) saving others from the upper reaches of the South Tower.   The film, then, depicts Welles' folklore stature throughout the United States including songs, artwork and babies that have been named in his honor. This legacy section leads up to the revelation of a remarkable secret about Welles that provides the perfect, inspirational ending.",,PG-13,Documentary,Matthew J. Weiss,,Gwyneth Paltrow,2017-09-08,2017-09-08,85.0,Verdi Productions,Fresh,63,8,94.0,92.0
Dear White People,"Winner of the 2014 Sundance Film Festival's Special Jury Award for Breakthrough Talent, Dear White People is a sly, provocative satire of race relations in the age of Obama. Writer/director Justin Simien follows a group of African American students as they navigate campus life and racial politics at a predominantly white college in a sharp and funny feature film debut that earned him a spot on Variety's annual ""10 Directors to Watch."" (C) Roadside Attractions","Dear White People adds a welcome new voice to cinema's oft-neglected discussion of race, tackling its timely themes with intelligence, honesty, and gratifyingly sharp wit.",R,"Comedy, Drama",Justin Simien,Justin Simien,"Tyler James Williams, Tessa Thompson, Brandon Bell, Dennis Haysbert, Teyonah Parris, Kyle Gallner, Malcolm Barrett, Brittany Curran, Marque Richardson II, Brandon Alter, Peter Syvertsen, Kate Gaulke, Brian James, Keith Myers, Bryan Porter, Terry Hempleman, Naomi Ko, Ashley Blaine Featherson, Jemar Michael, Courtney Sauls, Casey Millard, Avery Bilz, Baratunde Thurston, Craig Stepp, Michelle Wong, Nia Jervier",2014-10-17,2015-02-03,108.0,Roadside Attractions,Certified Fresh,91,131,61.0,22492.0
Atlas Shrugged: Who Is John Galt?,"Approaching collapse, the nation's economy is quickly eroding. As crime and fear take over the countryside, the government continues to exert its brutal force against the nation's most productive who are mysteriously vanishing - leaving behind a wake of despair. One man has the answer. One woman stands in his way. Some will stop at nothing to control him. Others will stop at nothing to save him. He swore by his life. They swore to find him. Who is John Galt? (c) Atlas Shrugged LLC",,PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",James Manera,"Duncan Scott, Brian Patrick O'Toole","Eric Allan Kramer, Rob Morrow, Stephen Tobolowsky, Kristoffer Polaha, Mark Moses, Joaquim de Almeida, Laura Regan, Greg Germann, Lew Temple, Anthony John Denison, Louis Herthum, Brent Briscoe, Ned Vaughn, Jeff Yagher, Larry Cedar, JJ Snyder, J.J. Snyder, Peter Mackenzie, Michael Wiseman, Tim De Zarn, Cooper Thornton, Garikayi Mutambirwa, Neil Dickson, Ed Corbin, Lindsey Ginter, Scott Levy, Scott Klace, Jen Nikolaisen, Ronald Clark",2014-09-12,2015-01-06,98.0,Atlas Distribution,Rotten,0,10,40.0,4241.0
Burden,"Chris Burden guaranteed his place in art history in 1971 with a period of often dangerous and at times stomach-churning performances. After having himself shot, locked up in a locker for five days, electrocuted, and crucified on the back of a VW bug, Burden reinvented himself as the creator of truly mesmerizing installations and sculptures, from a suspended gigantic flywheel that seemingly spins on its own, to an assemblage of antique streetlights rewired for solar energy and illuminated outside the Los Angeles County Museum of Art. In BURDEN, Timothy Marrinan and Richard Dewey look at the artist's works and private life with an innovative mix of still-potent videos of his 70s performances, personal videos and audio recordings, friends, fellows students and colleagues, critics' comments and latter day footage at his Topanga Canyon studio, all peppered with his thoughts and musings through the years.","Burden is no groundbreaker, but its straightforward approach allows the eccentric artists' work to speak for itself, warts and all.",NR,Documentary,"Richard Dewey, Timothy Marrinan","Richard Dewey, Timothy Marrinan",Chris Burden,2017-05-05,2017-05-05,85.0,Magnolia Pictures,Fresh,97,36,,
Mary Magdalene,"Set in the Holy Land in the first century C.E., a young woman leaves her small fishing village and traditional family behind to join a radical new social movement. At its head is a charismatic leader, Jesus of Nazareth, who promises that the world is changing. Mary is searching for a new way of living, and an authenticity that is denied her by the rigid hierarchies of the day. As the notoriety of the group spread and more are drawn to follow Jesus' inspirational message, Mary's spiritual journey places her at the heart of a story that will lead to the capital city of Jerusalem, where she must confront the reality of Jesus' destiny and her own place within it.","Mary Magdalene has obvious reverence for its subject; unfortunately, it lacks enough momentum or depth of character to make her story interesting.",R,Drama,Garth Davis,"Helen Edmundson, Philippa Goslett","Rooney Mara, Joaquin Phoenix, Chiwetel Ejiofor, Tahar Rahim, Denis Ménochet, Ariane Labed",2019-04-12,2019-04-19,120.0,IFC Films,Rotten,45,109,50.0,186.0
Mission: Impossible 2,"Director John Woo brings Hong Kong-style martial arts action to this comic book-flavored sequel that eschews the complicated plot and political maneuverings of its predecessor in favor of pure, adrenaline-charged thrills. Tom Cruise returns as Ethan Hunt, an operative for the top-secret government agency IMF (Impossible Missions Force). Fellow agent Sean Ambrose (Dougray Scott) has gone rogue, stealing a sample of a deadly synthetic virus named Chimera that could rapidly wipe out the world's population. Ambrose's plan is to sell Chimera to the highest bidder in exchange for shares of stock in the winner's company. Summoned by the new IMF chief (Anthony Hopkins in an uncredited cameo role), Ethan is assigned to recruit the help of Ambrose's former lover Nyah Nordoff-Hall (Thandie Newton), a gorgeous woman who left Ambrose broken-hearted and who may be able to quickly regain his confidence. Once he meets and spends a night with Nyah, however, Ethan is smitten, and now must both capture Ambrose and keep Nyah alive as she infiltrates a nest of vipers. Sophisticated disguises, gun battles, and high-speed chases are the order of the day, very much in the James Bond mold. Mission: Impossible 2 is based on a story by Star Trek: The Next Generation writers Ronald D. Moore and Brannon Braga, with a script polish by Robert Towne. ~ Karl Williams, Rovi","Your cranium may crave more substance, but your eyes will feast on the amazing action sequences.",PG-13,"Action & Adventure, Mystery & Suspense",John Woo,"William Goldman, John Logan, David Marconi, Michael Tolkin, Robert Towne, Rick Berman","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Matt Wilkinson, Nicholas Bell, Kee Chan, Kim Fleming, Alan Lovell, Dan Luxton, Christian Manon, Karl McMillan, Lester Morris, Nicholas Papademetriou, Anthony Hopkins, Brett Partridge, Kelly Ons, Natalie Reis, Nada Rogic, Cristina Brogers, Adriana Rodríguez, Sandra Rodriguez, Candice Partridge, Daniel Roberts, Antonio Vargas",2000-12-31,2000-11-07,123.0,Paramount Pictures,Rotten,57,148,43.0,451768.0
